學年,大學,修課程度,就業情況,職業,畢業生人數
2009/10,香港大學,學士學位課程,升學,非全職就業,541
2009/10,香港大學,學士學位課程,失業,非全職就業,8
2009/10,香港大學,學士學位課程,全職就業,工程技術人員,13
2009/10,香港大學,學士學位課程,全職就業,工程師,172
2009/10,香港大學,學士學位課程,全職就業,文書及相關人員,31
2009/10,香港大學,學士學位課程,全職就業,未有提供資料,134
2009/10,香港大學,學士學位課程,全職就業,作家、新聞記者及相關作家,57
2009/10,香港大學,學士學位課程,全職就業,系統分析員和電腦程序員,90
2009/10,香港大學,學士學位課程,全職就業,其他服務工作人員,2
2009/10,香港大學,學士學位課程,全職就業,其他專業人員和技術工人,59
2009/10,香港大學,學士學位課程,全職就業,法律工作者,12
2009/10,香港大學,學士學位課程,全職就業,物理和生命科學技術員,24
2009/10,香港大學,學士學位課程,全職就業,物理和生命科學家,17
2009/10,香港大學,學士學位課程,全職就業,保險、房地產及商業服務,19
2009/10,香港大學,學士學位課程,全職就業,保護服務工作者,20
2009/10,香港大學,學士學位課程,全職就業,建築師和測量師,70
2009/10,香港大學,學士學位課程,全職就業,政府官員（一般職系）,22
2009/10,香港大學,學士學位課程,全職就業,飛機和船舶人員,7
2009/10,香港大學,學士學位課程,全職就業,商務專業人員,524
2009/10,香港大學,學士學位課程,全職就業,會計師及核數師,140
2009/10,香港大學,學士學位課程,全職就業,經理,31
2009/10,香港大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,46
2009/10,香港大學,學士學位課程,全職就業,銷售／服務人員,24
2009/10,香港大學,學士學位課程,全職就業,醫療和衞生工作者,334
2009/10,香港大學,學士學位課程,全職就業,藝術家,6
2009/10,香港大學,學士學位課程,全職就業,敎學專業,236
2009/10,香港大學,學士學位課程,其他,非全職就業,37
2009/10,香港大學,學士學位課程,就業不足,非全職就業,136
2009/10,香港大學,硏究院修課課程,升學,非全職就業,13
2009/10,香港大學,硏究院修課課程,全職就業,文書及相關人員,1
2009/10,香港大學,硏究院修課課程,全職就業,未有提供資料,33
2009/10,香港大學,硏究院修課課程,全職就業,其他專業人員和技術工人,12
2009/10,香港大學,硏究院修課課程,全職就業,法律工作者,57
2009/10,香港大學,硏究院修課課程,全職就業,保護服務工作者,1
2009/10,香港大學,硏究院修課課程,全職就業,建築師和測量師,62
2009/10,香港大學,硏究院修課課程,全職就業,政府官員（一般職系）,2
2009/10,香港大學,硏究院修課課程,全職就業,商務專業人員,6
2009/10,香港大學,硏究院修課課程,全職就業,銷售／服務人員,1
2009/10,香港大學,硏究院修課課程,全職就業,醫療和衞生工作者,17
2009/10,香港大學,硏究院修課課程,全職就業,敎學專業,90
2009/10,香港大學,硏究院修課課程,其他,非全職就業,5
2009/10,香港大學,硏究院修課課程,就業不足,非全職就業,10
2009/10,香港大學,硏究院硏究課程,升學,非全職就業,56
2009/10,香港大學,硏究院硏究課程,失業,非全職就業,5
2009/10,香港大學,硏究院硏究課程,全職就業,工程技術人員,3
2009/10,香港大學,硏究院硏究課程,全職就業,工程師,25
2009/10,香港大學,硏究院硏究課程,全職就業,文書及相關人員,2
2009/10,香港大學,硏究院硏究課程,全職就業,未有提供資料,42
2009/10,香港大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,2
2009/10,香港大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,7
2009/10,香港大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,2
2009/10,香港大學,硏究院硏究課程,全職就業,物理和生命科學技術員,56
2009/10,香港大學,硏究院硏究課程,全職就業,物理和生命科學家,15
2009/10,香港大學,硏究院硏究課程,全職就業,保護服務工作者,1
2009/10,香港大學,硏究院硏究課程,全職就業,建築師和測量師,2
2009/10,香港大學,硏究院硏究課程,全職就業,政府官員（一般職系）,1
2009/10,香港大學,硏究院硏究課程,全職就業,飛機和船舶人員,1
2009/10,香港大學,硏究院硏究課程,全職就業,商務專業人員,15
2009/10,香港大學,硏究院硏究課程,全職就業,會計師及核數師,2
2009/10,香港大學,硏究院硏究課程,全職就業,經理,2
2009/10,香港大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,6
2009/10,香港大學,硏究院硏究課程,全職就業,醫療和衞生工作者,12
2009/10,香港大學,硏究院硏究課程,全職就業,藝術家,1
2009/10,香港大學,硏究院硏究課程,全職就業,敎學專業,81
2009/10,香港大學,硏究院硏究課程,其他,非全職就業,25
2009/10,香港大學,硏究院硏究課程,就業不足,非全職就業,18
2009/10,香港中文大學,學士學位課程,升學,非全職就業,488
2009/10,香港中文大學,學士學位課程,失業,非全職就業,74
2009/10,香港中文大學,學士學位課程,全職就業,工程技術人員,25
2009/10,香港中文大學,學士學位課程,全職就業,工程師,46
2009/10,香港中文大學,學士學位課程,全職就業,文書及相關人員,26
2009/10,香港中文大學,學士學位課程,全職就業,未有提供資料,12
2009/10,香港中文大學,學士學位課程,全職就業,生產及有關工人,1
2009/10,香港中文大學,學士學位課程,全職就業,作家、新聞記者及相關作家,106
2009/10,香港中文大學,學士學位課程,全職就業,系統分析員和電腦程序員,164
2009/10,香港中文大學,學士學位課程,全職就業,其他服務工作人員,2
2009/10,香港中文大學,學士學位課程,全職就業,其他專業人員和技術工人,59
2009/10,香港中文大學,學士學位課程,全職就業,宗教工作者,2
2009/10,香港中文大學,學士學位課程,全職就業,法律工作者,8
2009/10,香港中文大學,學士學位課程,全職就業,物理和生命科學技術員,21
2009/10,香港中文大學,學士學位課程,全職就業,物理和生命科學家,14
2009/10,香港中文大學,學士學位課程,全職就業,保險、房地產及商業服務,21
2009/10,香港中文大學,學士學位課程,全職就業,保護服務工作者,30
2009/10,香港中文大學,學士學位課程,全職就業,建築師和測量師,48
2009/10,香港中文大學,學士學位課程,全職就業,政府官員（一般職系）,20
2009/10,香港中文大學,學士學位課程,全職就業,飛機和船舶人員,1
2009/10,香港中文大學,學士學位課程,全職就業,商務專業人員,626
2009/10,香港中文大學,學士學位課程,全職就業,會計師及核數師,180
2009/10,香港中文大學,學士學位課程,全職就業,經理,27
2009/10,香港中文大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,59
2009/10,香港中文大學,學士學位課程,全職就業,資料不全以致未能分類,7
2009/10,香港中文大學,學士學位課程,全職就業,銷售／服務人員,18
2009/10,香港中文大學,學士學位課程,全職就業,醫療和衞生工作者,338
2009/10,香港中文大學,學士學位課程,全職就業,藝術家,6
2009/10,香港中文大學,學士學位課程,全職就業,敎學專業,259
2009/10,香港中文大學,學士學位課程,其他,非全職就業,63
2009/10,香港中文大學,學士學位課程,就業不足,非全職就業,36
2009/10,香港中文大學,硏究院修課課程,升學,非全職就業,6
2009/10,香港中文大學,硏究院修課課程,失業,非全職就業,1
2009/10,香港中文大學,硏究院修課課程,全職就業,文書及相關人員,1
2009/10,香港中文大學,硏究院修課課程,全職就業,作家、新聞記者及相關作家,3
2009/10,香港中文大學,硏究院修課課程,全職就業,系統分析員和電腦程序員,1
2009/10,香港中文大學,硏究院修課課程,全職就業,其他專業人員和技術工人,10
2009/10,香港中文大學,硏究院修課課程,全職就業,法律工作者,17
2009/10,香港中文大學,硏究院修課課程,全職就業,保險、房地產及商業服務,1
2009/10,香港中文大學,硏究院修課課程,全職就業,建築師和測量師,30
2009/10,香港中文大學,硏究院修課課程,全職就業,商務專業人員,3
2009/10,香港中文大學,硏究院修課課程,全職就業,經理,2
2009/10,香港中文大學,硏究院修課課程,全職就業,敎學專業,137
2009/10,香港中文大學,硏究院修課課程,其他,非全職就業,2
2009/10,香港中文大學,硏究院修課課程,就業不足,非全職就業,3
2009/10,香港中文大學,硏究院硏究課程,升學,非全職就業,53
2009/10,香港中文大學,硏究院硏究課程,失業,非全職就業,15
2009/10,香港中文大學,硏究院硏究課程,全職就業,工程技術人員,4
2009/10,香港中文大學,硏究院硏究課程,全職就業,工程師,9
2009/10,香港中文大學,硏究院硏究課程,全職就業,未有提供資料,8
2009/10,香港中文大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,2
2009/10,香港中文大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,11
2009/10,香港中文大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,3
2009/10,香港中文大學,硏究院硏究課程,全職就業,法律工作者,1
2009/10,香港中文大學,硏究院硏究課程,全職就業,物理和生命科學技術員,23
2009/10,香港中文大學,硏究院硏究課程,全職就業,物理和生命科學家,7
2009/10,香港中文大學,硏究院硏究課程,全職就業,政府官員（一般職系）,1
2009/10,香港中文大學,硏究院硏究課程,全職就業,商務專業人員,24
2009/10,香港中文大學,硏究院硏究課程,全職就業,經理,2
2009/10,香港中文大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,11
2009/10,香港中文大學,硏究院硏究課程,全職就業,資料不全以致未能分類,1
2009/10,香港中文大學,硏究院硏究課程,全職就業,醫療和衞生工作者,20
2009/10,香港中文大學,硏究院硏究課程,全職就業,藝術家,2
2009/10,香港中文大學,硏究院硏究課程,全職就業,敎學專業,128
2009/10,香港中文大學,硏究院硏究課程,其他,非全職就業,36
2009/10,香港中文大學,硏究院硏究課程,就業不足,非全職就業,11
2009/10,香港城市大學,副學位課程,升學,非全職就業,162
2009/10,香港城市大學,副學位課程,失業,非全職就業,3
2009/10,香港城市大學,副學位課程,全職就業,工程技術人員,12
2009/10,香港城市大學,副學位課程,全職就業,工程師,15
2009/10,香港城市大學,副學位課程,全職就業,文書及相關人員,4
2009/10,香港城市大學,副學位課程,全職就業,未有提供資料,2
2009/10,香港城市大學,副學位課程,全職就業,生產及有關工人,2
2009/10,香港城市大學,副學位課程,全職就業,系統分析員和電腦程序員,1
2009/10,香港城市大學,副學位課程,全職就業,其他專業人員和技術工人,25
2009/10,香港城市大學,副學位課程,全職就業,宗教工作者,1
2009/10,香港城市大學,副學位課程,全職就業,建築師和測量師,97
2009/10,香港城市大學,副學位課程,全職就業,商務專業人員,6
