,Academic Year,University,Level of study,Employment Situation,Occupation,No. of graduates
65,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,4
66,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,"Economists, Statisticians and Mathematicians",1
67,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Engineering Technicians,1
68,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Medical and Health Workers,2
69,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
70,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,7
71,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,10
72,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,1
73,2009/10,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
74,2009/10,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,11
75,2009/10,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,10
76,2009/10,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,1
77,2009/10,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
78,2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Business Professionals,1
79,2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
80,2009/10,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,20
81,2009/10,Hong Kong Baptist University,Taught postgraduate,Others,Not in Full-time Employment,1
82,2009/10,Hong Kong Baptist University,Taught postgraduate,Underemployed,Not in Full-time Employment,2
83,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,68
84,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Agriculture and Fishery Workers,1
85,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,2
86,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Artists,43
87,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,"Authors, Journalists and Related Writers",106
88,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,374
89,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,39
90,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,"Economists, Statisticians and Mathematicians",13
91,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,3
92,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,6
93,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Government Administrators and Diplomats,2
94,2009/10,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),1
